IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
192.18.128.200,443,443,true,SJC,North America,US,San Jose,243,4.58
152.70.155.147,2083,2083,true,LAX,North America,US,Los Angeles,294,4.55
141.148.242.113,8443,443,true,AMS,Europe,NL,Amsterdam,298,4.49
130.162.228.90,443,443,true,FRA,Europe,DE,Frankfurt,225,4.47
140.238.18.74,443,443,true,ICN,Asia Pacific,KR,Seoul,332,4.47
129.151.198.3,2053,443,true,ARN,Europe,SE,Stockholm,284,4.39
168.138.209.31,443,443,true,NRT,Asia Pacific,JP,Tokyo,218,4.36
144.24.20.251,2053,443,true,LAX,North America,US,Los Angeles,216,4.33
143.47.243.144,2053,443,true,LHR,Europe,GB,London,343,4.30
132.226.31.178,443,443,true,LAX,North America,US,Los Angeles,307,4.29
140.238.214.247,443,443,true,MXP,Europe,IT,Milan,247,4.28
129.146.168.102,443,443,true,LAX,North America,US,Los Angeles,228,4.25
132.226.114.74,443,443,true,LAX,North America,US,Los Angeles,186,4.25
141.148.187.195,443,443,true,LAX,North America,US,Los Angeles,337,4.20
129.151.148.35,443,443,true,DXB,Middle East,AE,Dubai,205,4.16
155.248.196.123,443,443,true,YVR,North America,CA,Vancouver,317,4.08
152.70.49.115,443,443,true,AMS,Europe,NL,Amsterdam,207,4.03
129.213.136.180,443,443,true,IAD,North America,US,Ashburn,319,4.00
152.67.231.219,443,443,true,SJC,North America,US,San Jose,235,3.96
152.70.241.213,443,443,true,LAX,North America,US,Los Angeles,261,3.96
150.230.149.208,443,443,true,FRA,Europe,DE,Frankfurt,321,3.95
89.168.17.228,443,443,true,MXP,Europe,IT,Milan,392,3.87
129.159.130.38,443,443,true,TLV,Middle East,IL,Tel Aviv,298,3.84
129.151.198.3,8443,443,true,ARN,Europe,SE,Stockholm,452,3.76
152.70.52.215,443,443,true,AMS,Europe,NL,Amsterdam,266,3.74
158.178.238.239,2053,443,true,SIN,Asia Pacific,SG,Singapore,143,3.70
64.110.104.30,443,443,true,KIX,Asia Pacific,JP,Osaka,224,3.70
158.180.231.216,443,443,true,MRS,Europe,FR,Marseille,376,3.61
152.70.57.160,443,443,true,FRA,Europe,DE,Frankfurt,270,3.52
129.158.198.241,8443,443,true,IAD,North America,US,Ashburn,252,3.39
152.70.54.10,443,443,true,FRA,Europe,DE,Frankfurt,248,3.34
152.70.57.182,443,443,true,AMS,Europe,NL,Amsterdam,267,3.22
158.178.206.197,8443,443,true,CDG,Europe,FR,Paris,294,3.21
89.168.43.31,8443,443,true,CDG,Europe,FR,Paris,153,3.12
146.56.101.141,443,443,true,ICN,Asia Pacific,KR,Seoul,274,3.10
129.159.132.0,8443,443,true,TLV,Middle East,IL,Tel Aviv,263,2.96
141.147.47.32,8443,443,true,FRA,Europe,DE,Frankfurt,378,2.96
158.180.49.11,8443,443,true,FRA,Europe,DE,Frankfurt,282,2.82
129.146.254.39,443,443,true,LAX,North America,US,Los Angeles,286,2.77
144.22.252.124,443,443,true,GRU,South America,BR,São Paulo,389,2.76
89.168.68.57,2053,443,true,FRA,Europe,DE,Frankfurt,290,2.70
143.47.243.144,8443,443,true,LHR,Europe,GB,London,244,2.67
152.70.59.90,8443,443,true,AMS,Europe,NL,Amsterdam,238,2.65
152.67.78.184,443,443,true,ZRH,Europe,CH,Zurich,331,2.59
168.138.141.235,2053,443,true,GRU,South America,BR,São Paulo,351,2.53
140.238.158.238,8080,443,true,YYZ,North America,CA,Toronto,330,2.48
129.151.254.48,443,443,true,MRS,Europe,FR,Marseille,205,2.46
89.168.43.31,2053,443,true,CDG,Europe,FR,Paris,267,2.36
152.70.48.255,443,443,true,FRA,Europe,DE,Frankfurt,268,2.33
152.70.48.159,443,443,true,FRA,Europe,DE,Frankfurt,309,2.24
89.168.68.57,8443,443,true,FRA,Europe,DE,Frankfurt,328,2.10
129.151.104.245,8443,443,true,EZE,South America,AR,Buenos Aires,424,2.07
141.147.47.32,2053,443,true,FRA,Europe,DE,Frankfurt,429,2.05
158.180.49.11,2053,443,true,FRA,Europe,DE,Frankfurt,301,1.97
158.178.238.239,443,443,true,SIN,Asia Pacific,SG,Singapore,97,1.88
152.70.97.78,443,443,true,NRT,Asia Pacific,JP,Tokyo,138,1.82
129.159.34.122,443,443,true,SJC,North America,US,San Jose,210,1.81
141.144.198.113,2053,443,true,AMS,Europe,NL,Amsterdam,195,1.71
129.159.132.0,2053,443,true,TLV,Middle East,IL,Tel Aviv,266,1.71
146.235.204.17,8443,443,true,SJC,North America,US,San Jose,193,1.45
158.178.206.197,2053,443,true,CDG,Europe,FR,Paris,330,1.32
141.144.198.113,8443,443,true,AMS,Europe,NL,Amsterdam,248,1.04
141.147.61.116,8443,443,true,FRA,Europe,DE,Frankfurt,310,1.04
146.235.59.153,2053,443,true,GRU,South America,BR,São Paulo,359,0.96
152.70.61.75,443,443,true,FRA,Europe,DE,Frankfurt,384,0.83
132.226.163.224,8443,443,true,GRU,South America,BR,São Paulo,402,0.55
129.158.198.241,2053,443,true,IAD,North America,US,Ashburn,312,0.42
141.147.61.116,2053,443,true,FRA,Europe,DE,Frankfurt,354,0.36
140.238.212.95,443,443,true,MXP,Europe,IT,Milan,235,0.35
140.238.86.228,443,443,true,LHR,Europe,GB,London,242,0.30
129.159.84.71,443,443,true,IAD,North America,US,Ashburn,356,0.10
164.152.17.14,443,443,true,ORD,North America,US,Chicago,269,0.02
140.238.158.238,443,443,true,YYZ,North America,CA,Toronto,361,0.00
129.159.22.4,443,443,true,MAA,Asia Pacific,IN,Chennai,42,0.00
168.138.162.187,443,443,true,SIN,Asia Pacific,SG,Singapore,61,0.00
146.56.117.129,2052,2086,false,ICN,Asia Pacific,KR,Seoul,67,0.00
150.230.62.27,443,80,false,KIX,Asia Pacific,JP,Osaka,67,0.00
152.67.222.250,80,80,false,ICN,Asia Pacific,KR,Seoul,67,0.00
146.56.133.140,2096,80,false,ICN,Asia Pacific,KR,Seoul,69,0.00
193.123.233.143,2083,80,false,ICN,Asia Pacific,KR,Seoul,70,0.00
152.70.91.76,2052,80,false,ICN,Asia Pacific,KR,Seoul,74,0.00
168.138.185.234,443,443,true,SIN,Asia Pacific,SG,Singapore,75,0.00
140.83.57.116,8443,80,false,KIX,Asia Pacific,JP,Osaka,77,0.00
131.186.30.44,2086,2086,false,ICN,Asia Pacific,KR,Seoul,80,0.00
193.123.233.143,2096,80,false,ICN,Asia Pacific,KR,Seoul,88,0.00
146.56.133.140,2083,80,false,ICN,Asia Pacific,KR,Seoul,90,0.00
131.186.30.44,8880,80,false,ICN,Asia Pacific,KR,Seoul,92,0.00
152.70.91.76,2082,2082,false,ICN,Asia Pacific,KR,Seoul,98,0.00
152.70.91.76,2086,2086,false,ICN,Asia Pacific,KR,Seoul,99,0.00
168.138.47.238,8443,80,false,KIX,Asia Pacific,JP,Osaka,100,0.00
131.186.30.44,2082,2082,false,ICN,Asia Pacific,KR,Seoul,119,0.00
146.56.162.25,80,80,false,ICN,Asia Pacific,KR,Seoul,127,0.00
193.122.125.14,8880,8880,false,ICN,Asia Pacific,KR,Seoul,135,0.00
140.245.38.247,80,80,false,SIN,Asia Pacific,SG,Singapore,145,0.00
131.186.60.210,443,443,true,NRT,Asia Pacific,JP,Tokyo,153,0.00
140.238.19.2,443,80,false,ICN,Asia Pacific,KR,Seoul,156,0.00
130.162.61.18,80,80,false,FRA,Europe,DE,Frankfurt,163,0.00
140.238.29.117,443,80,false,ICN,Asia Pacific,KR,Seoul,167,0.00
150.230.7.216,443,443,true,KIX,Asia Pacific,JP,Osaka,171,0.00
168.138.194.74,443,443,true,NRT,Asia Pacific,JP,Tokyo,178,0.00
130.61.129.93,80,80,false,FRA,Europe,DE,Frankfurt,190,0.00
144.24.200.164,80,80,false,MRS,Europe,FR,Marseille,191,0.00
152.70.155.147,2095,2095,false,LAX,North America,US,Los Angeles,197,0.00
193.122.125.223,443,443,true,ICN,Asia Pacific,KR,Seoul,209,0.00
152.70.155.147,2082,2082,false,LAX,North America,US,Los Angeles,210,0.00
165.1.76.23,80,80,false,SJC,North America,US,San Jose,215,0.00
152.70.235.207,443,443,true,ICN,Asia Pacific,KR,Seoul,216,0.00
152.70.155.147,8080,8080,false,LAX,North America,US,Los Angeles,227,0.00
150.230.221.148,443,443,true,NRT,Asia Pacific,JP,Tokyo,230,0.00
152.70.155.147,8880,8880,false,LAX,North America,US,Los Angeles,236,0.00
152.70.155.147,2086,2086,false,LAX,North America,US,Los Angeles,239,0.00
152.70.155.147,2052,2052,false,LAX,North America,US,Los Angeles,241,0.00
152.70.155.147,80,80,false,LAX,North America,US,Los Angeles,245,0.00
89.168.17.228,80,80,false,MXP,Europe,IT,Milan,261,0.00
141.148.137.163,80,80,false,LAX,North America,US,Los Angeles,264,0.00
158.180.228.226,80,80,false,MXP,Europe,IT,Milan,265,0.00
150.136.61.148,443,443,true,IAD,North America,US,Ashburn,269,0.00
192.18.134.22,443,443,true,SJC,North America,US,San Jose,274,0.00
130.61.129.93,443,443,true,FRA,Europe,DE,Frankfurt,280,0.00
152.69.194.203,443,443,true,SJC,North America,US,San Jose,283,0.00
131.186.62.248,443,443,true,NRT,Asia Pacific,JP,Tokyo,284,0.00
193.122.107.147,443,443,true,ICN,Asia Pacific,KR,Seoul,297,0.00
150.136.87.192,443,443,true,IAD,North America,US,Ashburn,313,0.00
129.146.111.62,443,443,true,LAX,North America,US,Los Angeles,316,0.00
146.56.176.143,443,443,true,ICN,Asia Pacific,KR,Seoul,316,0.00
164.152.34.166,80,8080,false,GRU,South America,BR,São Paulo,439,0.00
